City,state_id,State
Monroe,WA,Washington
Loomis,WA,Washington
Pomeroy,WA,Washington
Brush Prairie,WA,Washington
Silver Firs,WA,Washington
Nespelem,WA,Washington
Meadowdale,WA,Washington
Shadow Lake,WA,Washington
LaCrosse,WA,Washington
Concrete,WA,Washington
Sumas,WA,Washington
Ruston,WA,Washington
La Center,WA,Washington
Marrowstone,WA,Washington
Chelan Falls,WA,Washington
Lake Cavanaugh,WA,Washington
Duluth,WA,Washington
Sequim,WA,Washington
Benton City,WA,Washington
Moses Lake,WA,Washington
Fircrest,WA,Washington
Othello,WA,Washington
Mercer Island,WA,Washington
Enumclaw,WA,Washington
Chico,WA,Washington
Enetai,WA,Washington
Hunts Point,WA,Washington
Clinton,WA,Washington
Hat Island,WA,Washington
Marietta-Alderwood,WA,Washington
Waitsburg,WA,Washington
Sunnyslope,WA,Washington
South Cle Elum,WA,Washington
Selah,WA,Washington
Lind,WA,Washington
Five Corners,WA,Washington
Winthrop,WA,Washington
Normandy Park,WA,Washington
Home,WA,Washington
Graham,WA,Washington
Yacolt,WA,Washington
Packwood,WA,Washington
Queets,WA,Washington
Finley,WA,Washington
Northport,WA,Washington
Medina,WA,Washington
Browns Point,WA,Washington
Summit,WA,Washington
Albion,WA,Washington
Sudden Valley,WA,Washington
Bunk Foss,WA,Washington
Gleed,WA,Washington
Maryhill,WA,Washington
Oyehut,WA,Washington
Alder,WA,Washington
Ridgefield,WA,Washington
Bryant,WA,Washington
Nisqually Indian Community,WA,Washington
Porter,WA,Washington
Kettle Falls,WA,Washington
Chelan,WA,Washington
Edison,WA,Washington
Neilton,WA,Washington
Fox Island,WA,Washington
Renton,WA,Washington
Baring,WA,Washington
Hobart,WA,Washington
Wallula,WA,Washington
Touchet,WA,Washington
Leavenworth,WA,Washington
Fobes Hill,WA,Washington
Harrington,WA,Washington
Port Orchard,WA,Washington
Alderwood Manor,WA,Washington
Kennewick,WA,Washington
Ahtanum,WA,Washington
Wilderness Rim,WA,Washington
Machias,WA,Washington
Bingen,WA,Washington
Four Lakes,WA,Washington
Springdale,WA,Washington
Washtucna,WA,Washington
Covington,WA,Washington
Allyn,WA,Washington
North Sultan,WA,Washington
Union Gap,WA,Washington
Shelton,WA,Washington
Chinook,WA,Washington
Blaine,WA,Washington
Port Hadlock-Irondale,WA,Washington
Burley,WA,Washington
Mount Vernon,WA,Washington
Electric City,WA,Washington
Ronald,WA,Washington
Nespelem Community,WA,Washington
Amanda Park,WA,Washington
Clarkston Heights-Vineland,WA,Washington
Boulevard Park,WA,Washington
Big Lake,WA,Washington
Boyds,WA,Washington
Parkwood,WA,Washington
Deer Park,WA,Washington
Humptulips,WA,Washington
SeaTac,WA,Washington
Maple Valley,WA,Washington
Millwood,WA,Washington
Point Roberts,WA,Washington
Dixie,WA,Washington
East Port Orchard,WA,Washington
Morton,WA,Washington
Alger,WA,Washington
Kahlotus,WA,Washington
Fife Heights,WA,Washington
Cherry Grove,WA,Washington
Clearview,WA,Washington
Greenwater,WA,Washington
Picnic Point,WA,Washington
Kendall,WA,Washington
Seabeck,WA,Washington
Startup,WA,Washington
Steilacoom,WA,Washington
Lamont,WA,Washington
Bay View,WA,Washington
Valley,WA,Washington
North Marysville,WA,Washington
Brady,WA,Washington
May Creek,WA,Washington
Clear Lake,WA,Washington
Keller,WA,Washington
Redmond,WA,Washington
Ilwaco,WA,Washington
Mountlake Terrace,WA,Washington
Parker,WA,Washington
Soap Lake,WA,Washington
Grand Mound,WA,Washington
Manchester,WA,Washington
Prairie Heights,WA,Washington
Verlot,WA,Washington
North Omak,WA,Washington
Naches,WA,Washington
Summitview,WA,Washington
Clover Creek,WA,Washington
Prosser,WA,Washington
Naselle,WA,Washington
Rock Island,WA,Washington
Goldendale,WA,Washington
Maltby,WA,Washington
Oak Harbor,WA,Washington
Tanglewilde,WA,Washington
Endicott,WA,Washington
Mill Creek East,WA,Washington
Maple Heights-Lake Desire,WA,Washington
Midland,WA,Washington
Kingston,WA,Washington
Esperance,WA,Washington
Grays River,WA,Washington
Sultan,WA,Washington
La Grande,WA,Washington
Ritzville,WA,Washington
Malott,WA,Washington
Coulee City,WA,Washington
Raymond,WA,Washington
Wollochet,WA,Washington
Quincy,WA,Washington
Walla Walla East,WA,Washington
Hamilton,WA,Washington
Woodinville,WA,Washington
Bay Center,WA,Washington
Port Townsend,WA,Washington
Riverside,WA,Washington
Woodway,WA,Washington
Qui-nai-elt Village,WA,Washington
Stevenson,WA,Washington
Ocean Park,WA,Washington
Port Angeles,WA,Washington
Bonney Lake,WA,Washington
Oroville,WA,Washington
Garrett,WA,Washington
Otis Orchards-East Farms,WA,Washington
Warm Beach,WA,Washington
Twin Lakes,WA,Washington
Conway,WA,Washington
College Place,WA,Washington
Eastmont,WA,Washington
Maple Falls,WA,Washington
Ephrata,WA,Washington
Buena,WA,Washington
Tumwater,WA,Washington
Desert Aire,WA,Washington
Lake Holm,WA,Washington
Mukilteo,WA,Washington
Twisp,WA,Washington
Lake Shore,WA,Washington
Keyport,WA,Washington
Lake Stevens,WA,Washington
Starbuck,WA,Washington
Harrah,WA,Washington
Hansville,WA,Washington
Carlsborg,WA,Washington
Yelm,WA,Washington
Fenwick Island,DE,Delaware
Delmar,DE,Delaware
Ardencroft,DE,Delaware
Farmington,DE,Delaware
Felton,DE,Delaware
Hartly,DE,Delaware
Pike Creek,DE,Delaware
Millville,DE,Delaware
Highland Acres,DE,Delaware
Rising Sun-Lebanon,DE,Delaware
Little Creek,DE,Delaware
Magnolia,DE,Delaware
Greenville,DE,Delaware
Elsmere,DE,Delaware
Harrington,DE,Delaware
Seaford,DE,Delaware
Dover Base Housing,DE,Delaware
Dagsboro,DE,Delaware
Milford,DE,Delaware
Bridgeville,DE,Delaware
Bellefonte,DE,Delaware
Smyrna,DE,Delaware
Wilmington Manor,DE,Delaware
New Castle,DE,Delaware
Bowers,DE,Delaware
Bethel,DE,Delaware
Selbyville,DE,Delaware
Houston,DE,Delaware
Woodside East,DE,Delaware
Viola,DE,Delaware
Dewey Beach,DE,Delaware
Newport,DE,Delaware
Bethany Beach,DE,Delaware
Edgemoor,DE,Delaware
Townsend,DE,Delaware
Georgetown,DE,Delaware
Kenton,DE,Delaware
Greenwood,DE,Delaware
North Star,DE,Delaware
Slaughter Beach,DE,Delaware
Middletown,DE,Delaware
Blades,DE,Delaware
Frederica,DE,Delaware
Rehoboth Beach,DE,Delaware
Milton,DE,Delaware
Woodside,DE,Delaware
Bear,DE,Delaware
Wilmington,DE,Delaware
Pike Creek Valley,DE,Delaware
Rodney Village,DE,Delaware
Henlopen Acres,DE,Delaware
Frankford,DE,Delaware
Millsboro,DE,Delaware
Glasgow,DE,Delaware
Clayton,DE,Delaware
Cheswold,DE,Delaware
Odessa,DE,Delaware
Kent Acres,DE,Delaware
St. Georges,DE,Delaware
Ardentown,DE,Delaware
Arden,DE,Delaware
Ellendale,DE,Delaware
Lewes,DE,Delaware
Laurel,DE,Delaware
Brookside,DE,Delaware
Wyoming,DE,Delaware
Claymont,DE,Delaware
Newark,DE,Delaware
Long Neck,DE,Delaware
Camden,DE,Delaware
Leipsic,DE,Delaware
Delaware City,DE,Delaware
Ocean View,DE,Delaware
South Bethany,DE,Delaware
Hockessin,DE,Delaware
Riverview,DE,Delaware
Dover,DE,Delaware
Washington,DC,District of Columbia
Stone Lake,WI,Wisconsin
Nelson,WI,Wisconsin
Fennimore,WI,Wisconsin
Chenequa,WI,Wisconsin
Helenville,WI,Wisconsin
Tichigan,WI,Wisconsin
Kekoskee,WI,Wisconsin
Wonewoc,WI,Wisconsin
St. Peter,WI,Wisconsin
Black River Falls,WI,Wisconsin
Shiocton,WI,Wisconsin
Three Lakes,WI,Wisconsin
Waldo,WI,Wisconsin
North Prairie,WI,Wisconsin
Mattoon,WI,Wisconsin
Almond,WI,Wisconsin
New Auburn,WI,Wisconsin
Hustisford,WI,Wisconsin
Little Chute,WI,Wisconsin
Birnamwood,WI,Wisconsin
Lodi,WI,Wisconsin
Whitehall,WI,Wisconsin
West Baraboo,WI,Wisconsin
Lomira,WI,Wisconsin
Brownsville,WI,Wisconsin
Bloomer,WI,Wisconsin
Wabeno,WI,Wisconsin
Whitewater,WI,Wisconsin
Reedsville,WI,Wisconsin
Amherst,WI,Wisconsin
Monona,WI,Wisconsin
River Falls,WI,Wisconsin
Delavan,WI,Wisconsin
Greendale,WI,Wisconsin
Couderay,WI,Wisconsin
Berlin,WI,Wisconsin
Grantsburg,WI,Wisconsin
Burnett,WI,Wisconsin
Lakewood,WI,Wisconsin
Wausau,WI,Wisconsin
Livingston,WI,Wisconsin
Hillsboro,WI,Wisconsin
Exeland,WI,Wisconsin
Whitelaw,WI,Wisconsin
East Troy,WI,Wisconsin
Oconto,WI,Wisconsin
Elkhorn,WI,Wisconsin
Nashotah,WI,Wisconsin
Rewey,WI,Wisconsin
Ferryville,WI,Wisconsin
Neillsville,WI,Wisconsin
Sun Prairie,WI,Wisconsin
Wilton,WI,Wisconsin
Eleva,WI,Wisconsin
Menomonie,WI,Wisconsin
Wales,WI,Wisconsin
Manitowoc,WI,Wisconsin
Ashippun,WI,Wisconsin
New Lisbon,WI,Wisconsin
New Odanah,WI,Wisconsin
Sauk City,WI,Wisconsin
Pulcifer,WI,Wisconsin
New Berlin,WI,Wisconsin
Milladore,WI,Wisconsin
Mason,WI,Wisconsin
Oconomowoc Lake,WI,Wisconsin
Independence,WI,Wisconsin
Maribel,WI,Wisconsin
Oak Creek,WI,Wisconsin
Van Dyne,WI,Wisconsin
Pence,WI,Wisconsin
Saukville,WI,Wisconsin
Clyman,WI,Wisconsin
Wild Rose,WI,Wisconsin
Reedsburg,WI,Wisconsin
Patch Grove,WI,Wisconsin
Paddock Lake,WI,Wisconsin
New Holstein,WI,Wisconsin
Lake Hallie,WI,Wisconsin
Hewitt,WI,Wisconsin
Menomonee Falls,WI,Wisconsin
Eastman,WI,Wisconsin
Pella,WI,Wisconsin
Princeton,WI,Wisconsin
Melvina,WI,Wisconsin
Peshtigo,WI,Wisconsin
Lake Tomahawk,WI,Wisconsin
Long Lake,WI,Wisconsin
Maple Bluff,WI,Wisconsin
Mishicot,WI,Wisconsin
Iron Ridge,WI,Wisconsin
Johnson Creek,WI,Wisconsin
Juneau,WI,Wisconsin
Kohler,WI,Wisconsin
Thornton,WI,Wisconsin
Seymour,WI,Wisconsin
Brandon,WI,Wisconsin
Camp Douglas,WI,Wisconsin
Hatley,WI,Wisconsin
Lake Ripley,WI,Wisconsin
Bruce,WI,Wisconsin
Hammond,WI,Wisconsin
Maiden Rock,WI,Wisconsin
Wind Point,WI,Wisconsin
Minong,WI,Wisconsin
Lewis,WI,Wisconsin
Arkdale,WI,Wisconsin
Wautoma,WI,Wisconsin
Black Earth,WI,Wisconsin
Kewaunee,WI,Wisconsin
Cumberland,WI,Wisconsin
North Bay,WI,Wisconsin
Tilleda,WI,Wisconsin
Iron Belt,WI,Wisconsin
Deerfield,WI,Wisconsin
DeForest,WI,Wisconsin
Fountain City,WI,Wisconsin
Bancroft,WI,Wisconsin
Rothschild,WI,Wisconsin
Poy Sippi,WI,Wisconsin
New London,WI,Wisconsin
Plum City,WI,Wisconsin
Lancaster,WI,Wisconsin
Rockdale,WI,Wisconsin
Doylestown,WI,Wisconsin
Wyeville,WI,Wisconsin
Cassville,WI,Wisconsin
Wauwatosa,WI,Wisconsin
Diaperville,WI,Wisconsin
Casco,WI,Wisconsin
Theresa,WI,Wisconsin
Centuria,WI,Wisconsin
Caledonia,WI,Wisconsin
Mole Lake,WI,Wisconsin
Edgar,WI,Wisconsin
Nekoosa,WI,Wisconsin
Sullivan,WI,Wisconsin
Greenleaf,WI,Wisconsin
Tony,WI,Wisconsin
Junction City,WI,Wisconsin
Bohners Lake,WI,Wisconsin
Rockland,WI,Wisconsin
Boscobel,WI,Wisconsin
Chili,WI,Wisconsin
Kennan,WI,Wisconsin
Plover,WI,Wisconsin
Hatfield,WI,Wisconsin
Bell Center,WI,Wisconsin
Antigo,WI,Wisconsin
Rome,WI,Wisconsin
Spencer,WI,Wisconsin
Lake Delton,WI,Wisconsin
Hixton,WI,Wisconsin
Cadott,WI,Wisconsin
Hingham,WI,Wisconsin
Cornell,WI,Wisconsin
Port Wing,WI,Wisconsin
Oakdale,WI,Wisconsin
Sussex,WI,Wisconsin
Galesville,WI,Wisconsin
Dellwood,WI,Wisconsin
Middle Village,WI,Wisconsin
Cochrane,WI,Wisconsin
Muskego,WI,Wisconsin
Greenwood,WI,Wisconsin
Whitefish Bay,WI,Wisconsin
Altoona,WI,Wisconsin
Vesper,WI,Wisconsin
Rice Lake,WI,Wisconsin
Columbus,WI,Wisconsin
Campbellsport,WI,Wisconsin
New Post,WI,Wisconsin
Warrens,WI,Wisconsin
Marshall,WI,Wisconsin
Allenton,WI,Wisconsin
Brodhead,WI,Wisconsin
Elk Mound,WI,Wisconsin
Clam Lake,WI,Wisconsin
Germantown,WI,Wisconsin
Bloomington,WI,Wisconsin
Crivitz,WI,Wisconsin
Wittenberg,WI,Wisconsin
Danbury,WI,Wisconsin
Drummond,WI,Wisconsin
Gilmanton,WI,Wisconsin
Mazomanie,WI,Wisconsin
Poynette,WI,Wisconsin
Fairchild,WI,Wisconsin
Elm Grove,WI,Wisconsin
Laona,WI,Wisconsin
Plymouth,WI,Wisconsin
Port Washington,WI,Wisconsin
Krakow,WI,Wisconsin
Howards Grove,WI,Wisconsin
Spring Green,WI,Wisconsin
Mount Hope,WI,Wisconsin
Omro,WI,Wisconsin
Kaukauna,WI,Wisconsin
Woodman,WI,Wisconsin
Bellevue,WI,Wisconsin
Bluffview,WI,Wisconsin
Legend Lake,WI,Wisconsin
Cambria,WI,Wisconsin
Fort Atkinson,WI,Wisconsin
Bay City,WI,Wisconsin
River Hills,WI,Wisconsin
Loyal,WI,Wisconsin
Fitchburg,WI,Wisconsin
Norwalk,WI,Wisconsin
Chippewa Falls,WI,Wisconsin
Burlington,WI,Wisconsin
Appleton,WI,Wisconsin
Edgerton,WI,Wisconsin
Scandinavia,WI,Wisconsin
Sturtevant,WI,Wisconsin
Knowlton,WI,Wisconsin
Elroy,WI,Wisconsin
Rosholt,WI,Wisconsin
Chilton,WI,Wisconsin
Barneveld,WI,Wisconsin
Arcadia,WI,Wisconsin
Coon Valley,WI,Wisconsin
Franklin,WI,Wisconsin
Blue River,WI,Wisconsin
Montreal,WI,Wisconsin
West Bend,WI,Wisconsin
Elmwood Park,WI,Wisconsin
Athens,WI,Wisconsin
New Richmond,WI,Wisconsin
Baileys Harbor,WI,Wisconsin
Merrimac,WI,Wisconsin
Oregon,WI,Wisconsin
Downing,WI,Wisconsin
Catawba,WI,Wisconsin
Bowler,WI,Wisconsin
Wisconsin Rapids,WI,Wisconsin
Tustin,WI,Wisconsin
Cuba City,WI,Wisconsin
Webster,WI,Wisconsin
Lone Rock,WI,Wisconsin
Pittsville,WI,Wisconsin
Shorewood Hills,WI,Wisconsin
Fox Point,WI,Wisconsin
Winter,WI,Wisconsin
Lake Geneva,WI,Wisconsin
Coleman,WI,Wisconsin
Springfield,WI,Wisconsin
Marengo,WI,Wisconsin
Siren,WI,Wisconsin
Argonne,WI,Wisconsin
Packwaukee,WI,Wisconsin
Dodgeville,WI,Wisconsin
Marathon City,WI,Wisconsin
St. Joseph,WI,Wisconsin
Cascade,WI,Wisconsin
Turtle Lake,WI,Wisconsin
Green Valley,WI,Wisconsin
Beloit,WI,Wisconsin
Bear Creek,WI,Wisconsin
Glen Haven,WI,Wisconsin
South Milwaukee,WI,Wisconsin
Hager City,WI,Wisconsin
Saxon,WI,Wisconsin
Green Bay,WI,Wisconsin
Browntown,WI,Wisconsin
Barron,WI,Wisconsin
Prairie du Sac,WI,Wisconsin
Suamico,WI,Wisconsin
Hancock,WI,Wisconsin
Ettrick,WI,Wisconsin
Ridgeland,WI,Wisconsin
Stockholm,WI,Wisconsin
Weyauwega,WI,Wisconsin
Cross Plains,WI,Wisconsin
Jackson,WI,Wisconsin
Barronett,WI,Wisconsin
Okauchee Lake,WI,Wisconsin
Cobb,WI,Wisconsin
Eagle,WI,Wisconsin
Eagle Lake,WI,Wisconsin
Birch Hill,WI,Wisconsin
Tomahawk,WI,Wisconsin
Ripon,WI,Wisconsin
Gordon,WI,Wisconsin
Merrill,WI,Wisconsin
Potter,WI,Wisconsin
Lac La Belle,WI,Wisconsin
Cottage Grove,WI,Wisconsin
Ashwaubenon,WI,Wisconsin
Balsam Lake,WI,Wisconsin
Curtiss,WI,Wisconsin
Sandy Hook,WI,Wisconsin
Glenbeulah,WI,Wisconsin
Taycheedah,WI,Wisconsin
Hartford,WI,Wisconsin
St. Cloud,WI,Wisconsin
Milton,WI,Wisconsin
West Salem,WI,Wisconsin
Tigerton,WI,Wisconsin
Washburn,WI,Wisconsin
Adell,WI,Wisconsin
